role,timestamp,instance,arm_requested,arm_reported,rep,timelimit,feasible,objective,obj1,obj2,obj3,wall_solve_s,wall_script_s,stop_reason,assignment_lb,lbbd_iters,full_present,full_aborted,full_skipped,seed_feasible,master_status_full,arm_info,error,raw_info_file
screening_n1,2026-07-27T13:55:54,prob_23,congestion,congestion,0,60.0,True,4698878.0,343.0,763,214.0,45.902,47.29,NO_STOP_ENTRY,,0,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 38, ""1"": 62}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_23_congestion_rep0.json
screening_n1,2026-07-27T13:57:38,prob_24,baseline,baseline,0,60.0,True,2448516.0,162.0,774,949.0,38.548,40.28,NO_STOP_ENTRY,,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_24_baseline_rep0.json
screening_n1,2026-07-27T13:58:32,prob_24,congestion,congestion,0,60.0,True,2345832.0,154.0,910,960.0,41.577,43.38,NO_STOP_ENTRY,,0,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 55, ""1"": 12, ""2"": 33}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_24_congestion_rep0.json
screening_n1,2026-07-27T13:59:26,prob_25,baseline,baseline,0,60.0,True,546120.0,773.0,49,1524.0,51.858,53.2,NO_STOP_ENTRY,,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_25_baseline_rep0.json
screening_n1,2026-07-27T14:00:29,prob_25,congestion,congestion,0,60.0,True,447363.0,620.0,583,1662.0,51.735,53.68,NO_STOP_ENTRY,,0,False,True,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 8886, ""bay_sizes"": {""0"": 56, ""1"": 44}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_25_congestion_rep0.json
screening_n1,2026-07-27T14:01:45,prob_28,baseline,baseline,0,60.0,True,6205116.0,432.0,320,1481.0,50.709,52.8,NO_STOP_ENTRY,,0,False,True,,True,,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_28_baseline_rep0.json
screening_n1,2026-07-27T14:02:49,prob_28,congestion,congestion,0,60.0,True,5988862.0,409.0,1955,1766.0,50.709,52.43,NO_STOP_ENTRY,,0,False,True,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 20, ""1"": 44, ""2"": 86}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_28_congestion_rep0.json
screening_n1,2026-07-27T14:03:52,prob_29,baseline,baseline,0,60.0,True,1375150.0,55.0,4645,2093.0,43.827,45.15,NO_STOP_ENTRY,,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_29_baseline_rep0.json
screening_n1,2026-07-27T14:04:48,prob_29,congestion,congestion,0,60.0,True,1494382.0,67.0,3957,1964.0,50.634,52.72,NO_STOP_ENTRY,,0,False,True,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 116, ""1"": 24, ""2"": 10}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_29_congestion_rep0.json
screening_n1,2026-07-27T14:06:27,prob_30,baseline,baseline,0,60.0,True,7363288.0,544.0,2434,502.0,50.616,52.99,NO_STOP_ENTRY,,0,False,True,,True,,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_30_baseline_rep0.json
